contact_id;address_line1;address_line2;locality;region;postcode;country;phone_no;email
35;Ernõ udvar 66. 03. emelet;;Budapest;Pest;2854;HU;-2790;skajan@mac.com
36;Tóth híd 39.;;Sopron;Gyõr-Moson-Sopron;8934;HU;-7886;fglock@comcast.net
37;Horváth forduló 815. 65. emelet;;Budapest;Pest;7464;HU;-9519;sjmuir@att.net
38;Vilmos pincesor 30.;;Veszprém;Veszprém;2511;HU;-3795;kobayasi@yahoo.com
39;Balogh határsor 3.;;Budapest;Pest;3970;HU;-4907;ehood@comcast.net
40;Sándor híd 12.;;Szentlõrinc;Baranya;7265;HU;-10679;paulv@gmail.com
41;Vass park 58.;;Budapest;Pest;472;HU;-2500;schumer@outlook.com
42;Rácz dûlõsor 47. 67. emelet;;Budapest;Pest;2755;HU;-4677;iapetus@optonline.net
43;Kis part 75. 64. emelet;;Budapest;Pest;7271;HU;-4297;hachi@verizon.net
44;Magyar gát 3. 91. emelet;;Sarkad;Békés;6195;HU;-3085;gknauss@yahoo.com
45;Léna híd 17. 50. ajtó;;Budapest;Pest;8373;HU;-5433;goresky@yahoo.ca
46;Takács köz 863.;;Érd;Pest;7556;HU;-7230;jonadab@yahoo.com
47;Illés orom 02.;;Budapest;Pest;4437;HU;-3678;hermanab@hotmail.com
48;Anikó határút 42.;;Budapest;Pest;8815;HU;-10102;sagal@verizon.net
49;Somogyi játszótér 637. 41. emelet;;Budapest;Pest;2755;HU;-6254;bcevc@me.com
50;Endre sétány 67.;;Hódmezõvásárhely;Csongrád;822;HU;-2643;sharon@outlook.com
51;Barna sétány 93. 16. emelet;;Budapest;Pest;8644;HU;-10133;drhyde@msn.com
52;Sipos lejáró 69.;;Budapest;Pest;6437;HU;-8402;barlow@me.com
53;Balázs körtér 45. 48. emelet;;Szeged;Csongrád;1047;HU;-2977;kodeman@msn.com
54;Erzsébet tér 27. 23. ajtó;;Budapest;Pest;6127;HU;-4919;burniske@comcast.net
55;Fodor mélyút 2.;;Csorna;Zala;3901;HU;-9949;eabrown@att.net
56;Kocsis turistaút 1.;;Budapest;Pest;4702;HU;-10095;gommix@mac.com
57;Bogdán átjáró 72. 96. emelet;;Szolnok;Somogy;9135;HU;-4718;khris@live.com
58;Klaudia országút 3. 82. ajtó;;Budapest;Pest;2508;HU;-7862;curly@yahoo.com
59;Erzsébet ösvény 65.;;Lenti;Zala;4454;HU;-5708;mhassel@optonline.net
60;Fodor turistaút 80.;;Budapest;Pest;7539;HU;-9658;jnolan@icloud.com
61;Péter határút 948.;;Budapest;Pest;1475;HU;-8045;murty@outlook.com
62;Kis mélyút 880. 80. emelet;;Kaposvár;Somogy;4380;HU;-2122;sjmuir@me.com
63;Balázs üdülõpart 74.;;Szeged;Csongrád;6154;HU;-9055;lydia@hotmail.com
64;Aranka erdõsor 5. 65. ajtó;;Kõszeg;Békés;3077;HU;-9291;gregh@gmail.com
65;Sipos lépcsõ 23.;;Budapest;Pest;8514;HU;-5362;stefano@gmail.com
66;Pásztor köz 64. 56. ajtó;;Szeged;Csongrád;7142;HU;-10631;leviathan@aol.com
67;Erzsébet útja 07.;;Budapest;Pest;2811;HU;-7172;stewwy@gmail.com
68;Sára park 471. 12. ajtó;;Érd;Pest;7110;HU;-5727;madler@att.net
69;Antal liget 50. 81. emelet;;Budapest;Pest;4165;HU;-7450;hampton@yahoo.com
70;Major dûlõsor 67. 18. emelet;;Budapest;Pest;1511;HU;-3665;sakusha@outlook.com
71;Pásztor gát 8.;;Budapest;Pest;5346;HU;-8769;cyrus@optonline.net
72;Panna erdõsor 4. 00. emelet;;Budapest;Pest;9527;HU;-4311;mleary@me.com
73;Halász sétaút 733.;;Budapest;Pest;9758;HU;-7531;rcwil@hotmail.com
74;Jakab üdülõpart 5. 43. ajtó;;Budapest;Pest;7308;HU;-5611;hyper@comcast.net
75;Székely sor 650. 31. emelet;;Sásd;Baranya;9533;HU;-2008;rfoley@yahoo.com
76;Jenõ sétaút 111. 58. ajtó;;Budapest;Pest;3333;HU;-4847;mschilli@att.net
77;Aranka útja 1. 83. emelet;;Érd;Pest;9572;HU;-3779;kevinm@verizon.net
78;Horváth határút 20.;;Esztergom;Komárom-Esztergom;2629;HU;-8489;scottlee@optonline.net
79;Marianna tere 52.;;Budapest;Pest;9054;HU;-5495;akoblin@aol.com
80;Balla liget 4. 66. emelet;;Budapest;Pest;9054;HU;-9568;niknejad@hotmail.com
81;Barna körönd 6.;;Budapest;Pest;9054;HU;-2275;dobey@att.net
82;Katalin sétaút 35. 59. ajtó;;Budapest;Pest;9054;HU;-6106;rkobes@outlook.com
83;Rudolf pincesor 17.;;Budapest;Pest;9054;HU;-6127;tbusch@me.com
84;Török határsor 17. 95. ajtó;;Gyõr;Tolna;9054;HU;-3552;ismail@yahoo.com
85;Barta rakpart 5. 68. ajtó;;Balatonfüred;Veszprém;9054;HU;-8631;gtewari@verizon.net
86;László körút 146.;;Budapest;Pest;9054;HU;-3339;dkasak@hotmail.com
87;Julianna dûlõút 89.;;Budapest;Pest;9054;HU;-2521;bescoto@gmail.com
88;Sándor kert 2. 94. emelet;;Budapest;Pest;9054;HU;-2481;petersen@optonline.net
89;Orbán sétaút 424. 76. emelet;;Hódmezõvásárhely;Csongrád;9054;HU;-2326;tedrlord@comcast.net
90;Dorián park 992. 26. emelet;;Bácsalmás;Bács-Kiskun;9054;HU;-9530;bjornk@sbcglobal.net
91;Fülöp part 54.;;Budapest;Pest;9054;HU;-6899;bflong@icloud.com
92;Somogyi játszótér 004.;;Budapest;Pest;9054;HU;-9746;jbuchana@msn.com
93;Pásztor játszótér 37.;;Budapest;Pest;9054;HU;-1699;keijser@outlook.com
94;Gábor lejáró 94. 90. ajtó;;Hódmezõvásárhely;Csongrád;9054;HU;-7389;jmcnamara@comcast.net
95;Kincsõ fasor 1.;;Balmazújváros;Hajdú-Bihar;9054;HU;-7830;bmidd@msn.com
96;Soós lejtõ 84.;;Érd;Pest;9054;HU;-2141;speeves@att.net
97;Patrik árok 5. 57. ajtó;;Ráckeve;Pest;9054;HU;-6015;shrapnull@icloud.com
98;Mátyás erdõsor 52.;;Pilisvörösvár;Pest;9054;HU;-2078;johndo@msn.com
99;Árpád turistaút 4. 06. ajtó;;Budapest;Pest;9054;HU;-6090;mmccool@aol.com
100;Balázs határsor 3.;;Budapest;Pest;9054;HU;-6948;kingma@att.net
101;Fehér körönd 045.;;Budapest;Pest;9054;HU;-4368;padme@comcast.net
102;Dobos sétány 865.;;Szolnok;Somogy;9054;HU;-4940;ebassi@verizon.net
103;Panna sugárút 475. 79. emelet;;Nagykanizsa;Zala;9054;HU;-7607;codex@mac.com
104;Bence orom 84.;;Budapest;Pest;9054;HU;-9657;hermes@outlook.com
105;Beatrix körönd 55. 16. emelet;;Budapest;Pest;9054;HU;-8118;fudrucker@att.net
106;Soós udvar 951.;;Budapest;Pest;9054;HU;-6349;dvdotnet@gmail.com
107;Török lakótelep 162.;;Sopron;Gyõr-Moson-Sopron;9054;HU;-6676;syrinx@yahoo.com
108;Szekeres dûlõsor 32.;;Szekszárd;Tolna;9054;HU;-6817;pereinar@outlook.com
109;Kocsis lakótelep 33. 13. ajtó;;Kaposvár;Somogy;9054;HU;-4391;pereinar@aol.com
110;Henriett játszótér 1.;;Hajdúböszörmény;Hajdú-Bihar;9054;HU;-5775;jbearp@gmail.com
111;Milla útja 790. 23. emelet;;Budapest;Pest;9054;HU;-6750;goldberg@att.net
112;Orosz árok 93.;;Budapest;Pest;9054;HU;-9029;william@gmail.com
113;Kristóf pincesor 786.;;Kecskemét;Bács-Kiskun;9054;HU;-9814;jmgomez@me.com
114;Albert kert 92.;;Budapest;Pest;9054;HU;-5335;mallanmba@verizon.net
115;Noel átjáró 36. 32. emelet;;Budapest;Pest;9054;HU;-3276;cisugrad@att.net
116;Katona átjáró 3.;;Budapest;Pest;9054;HU;-2681;jfinke@sbcglobal.net
117;Angéla átjáró 6. 03. emelet;;Budapest;Pest;9054;HU;-10702;mhouston@aol.com
118;Péter sétány 19.;;Eger;Heves;9054;HU;-5098;yumpy@me.com
119;Imre köz 3.;;Gyõr;Tolna;9054;HU;-7591;rddesign@verizon.net
120;Balázs part 569.;;Szeged;Csongrád;9054;HU;-3252;malin@me.com
121;Mária játszótér 26. 82. emelet;;Pécs;Baranya;9054;HU;-9242;marin@live.com
122;Bálint körtér 17. 24. emelet;;Budapest;Pest;9054;HU;-3925;akoblin@me.com
123;Mirella ösvény 0. 24. emelet;;Budapest;Pest;9054;HU;-4218;mcmillan@mac.com
124;Orbán pincesor 4.;;Debrecen;Hajdú-Bihar;9054;HU;-3984;policies@att.net
125;Pál park 97.;;Vác;Pest;9054;HU;-8236;gomor@outlook.com
126;Nikoletta határút 525.;;Budapest;Pest;9054;HU;-5559;lbecchi@msn.com
127;Szabó út 053. 56. emelet;;Budapest;Pest;9054;HU;-9621;benits@mac.com
128;Deák lejáró 96.;;Szeged;Csongrád;9054;HU;-5640;fluffy@mac.com
129;Barnabás játszótér 50. 47. emelet;;Budapest;Pest;9054;HU;-6976;dsowsy@me.com
130;Boróka határsor 08. 44. emelet;;Pétervására;Heves;9054;HU;-4806;bolow@comcast.net
131;Végh sétaút 877. 63. ajtó;;Szeged;Csongrád;9054;HU;-6636;munjal@optonline.net
132;Milla part 751. 21. emelet;;Budapest;Pest;9054;HU;-6616;jrifkin@live.com
133;Vince lakótelep 11. 47. emelet;;Budapest;Pest;9054;HU;-1908;djupedal@me.com
134;Mátyás udvar 98.;;Budapest;Pest;9054;HU;-8108;wkrebs@aol.com
135;Vörös lejáró 07. 65. emelet;;Budapest;Pest;9054;HU;-6567;phish@comcast.net
136;István park 88.;;Szekszárd;Tolna;9054;HU;-6052;chrisj@live.com
137;Dorián liget 703. 86. emelet;;Szentlõrinc;Baranya;9054;HU;-9830;sherzodr@msn.com
138;Major határút 2.;;Budapest;Pest;9054;HU;-5055;wortmanj@outlook.com
139;Vörös lépcsõ 16.;;Budapest;Pest;9054;HU;-2683;cameron@att.net
140;Péter határút 00.;;Pécs;Baranya;9054;HU;-2658;jrkorson@gmail.com
141;Zita part 82. 34. emelet;;Dunaújváros;Fejér;9054;HU;-3096;bhima@att.net
142;Beatrix útja 2.;;Budapest;Pest;9054;HU;-7227;mchugh@yahoo.ca
143;Végh körút 6.;;Zalaegerszeg;Zala;9054;HU;-2948;dgriffith@msn.com
144;Zita utca 2.;;Budapest;Pest;9054;HU;-2481;bockelboy@comcast.net
145;Emõke ösvény 016.;;Budapest;Pest;9054;HU;-10040;flakeg@sbcglobal.net
146;Pásztor udvar 8.;;Budapest;Pest;9054;HU;-5478;bolow@gmail.com
147;Albert gát 90.;;Nyíregyháza;Szabolcs-Szatmár-Bereg;9054;HU;-5950;tromey@live.com
148;Maja fasor 85. 52. ajtó;;Miskolc;Borsod-Abaúj-Zemplén;9054;HU;-2006;corrada@sbcglobal.net
149;Szõke orom 40.;;Tamási;Tolna;9054;HU;-8721;ianbuck@optonline.net
150;Vince sugárút 04. 84. ajtó;;Veszprém;Veszprém;9054;HU;-10486;gfxguy@msn.com
151;Fehér árok 51.;;Sásd;Baranya;9054;HU;-2741;geekgrl@att.net
152;Jakab dûlõsor 976. 31. ajtó;;Budapest;Pest;9054;HU;-8445;dbindel@yahoo.ca
153;Máté határsor 06. 96. emelet;;Eger;Heves;9054;HU;-3154;xnormal@optonline.net
154;Nemes pincesor 33.;;Budapest;Pest;9054;HU;-2168;grolschie@me.com
155;Julianna fasor 62.;;Dunaújváros;Fejér;9054;HU;-10606;mrdvt@att.net
156;Németh sor 23.;;Budapest;Pest;9054;HU;-3154;sopwith@mac.com
157;Szabó part 80.;;Budapest;Pest;9054;HU;-7678;frikazoyd@aol.com
158;Gizella liget 66.;;Budapest;Pest;9054;HU;-6611;burns@comcast.net
159;László turistaút 54.;;Budapest;Pest;9054;HU;-8240;jmmuller@gmail.com
160;Noel fasor 845.;;Szeged;Csongrád;9054;HU;-3843;cgreuter@verizon.net
161;Olivér tere 16.;;Budapest;Pest;9054;HU;-1491;airship@me.com
162;Virág lejtõ 93.;;Szeged;Csongrád;9054;HU;-8234;dwheeler@aol.com
163;Papp liget 038. 67. emelet;;Budapest;Pest;9054;HU;-8535;roesch@optonline.net
164;Patrícia fasor 15.;;Budapest;Pest;9054;HU;-2209;gumpish@att.net
165;Budai ösvény 3. 61. emelet;;Nagykanizsa;Zala;9054;HU;-5258;jdhildeb@comcast.net
166;Hegedûs ösvény 699. 63. emelet;;Budapest;Pest;9054;HU;-9607;mnemonic@hotmail.com
167;Gál út 71.;;Budapest;Pest;9054;HU;-3306;chrwin@gmail.com
168;Gál határút 819. 18. emelet;;Nyíregyháza;Szabolcs-Szatmár-Bereg;9054;HU;-9621;ilyaz@yahoo.com
169;Balog lejáró 7. 42. ajtó;;Zalaegerszeg;Zala;9054;HU;-8431;lcheng@mac.com
170;Molnár sugárút 976. 87. ajtó;;Budapest;Pest;9054;HU;-2079;wonderkid@sbcglobal.net
171;Somogyi part 278.;;Budapest;Pest;9054;HU;-7730;evilopie@att.net
172;Mátyás határút 645. 67. ajtó;;Rétság;Nógrád;9054;HU;-3458;zilla@outlook.com
173;Nikoletta kert 8.;;Budapest;Pest;9054;HU;-7627;dexter@msn.com
174;Kis sétány 02.;;Kecskemét;Bács-Kiskun;9054;HU;-4136;muadip@icloud.com
175;Ramóna dûlõút 6. 26. ajtó;;Budapest;Pest;9054;HU;-8655;goresky@yahoo.com
176;Gabriella lejtõ 30. 22. ajtó;;Orosháza;Borsod-Abaúj-Zemplén;9054;HU;-8368;birddog@att.net
177;Katinka lépcsõ 168. 79. emelet;;Budapest;Pest;9054;HU;-2759;jbarta@msn.com
178;Szabina üdülõpart 662.;;Érd;Pest;9054;HU;-9229;sharon@yahoo.ca
179;Boglárka lejtõ 82.;;Nagykanizsa;Zala;9054;HU;-4741;staikos@comcast.net
180;István üdülõpart 915. 98. ajtó;;Pécs;Baranya;9054;HU;-6621;bryam@yahoo.com
181;Emõke kert 2. 42. ajtó;;Budapest;Pest;9054;HU;-8455;mwilson@live.com
182;Major lejáró 113. 96. ajtó;;Budapest;Pest;9054;HU;-1541;demmel@aol.com
183;Soós lejtõ 44.;;Budapest;Pest;9054;HU;-8268;ribet@yahoo.com
184;Pál tér 13.;;Budapest;Pest;9054;HU;-2378;janusfury@aol.com
185;Liza átjáró 7.;;Budapest;Pest;9054;HU;-5550;mkearl@outlook.com
186;Varga sugárút 0. 53. emelet;;Budapest;Pest;9054;HU;-1704;breegster@yahoo.ca
187;Végh fasor 53. 51. ajtó;;Pécs;Baranya;9054;HU;-2313;gastown@me.com
188;Liliána tere 2. 39. emelet;;Sopron;Gyõr-Moson-Sopron;9054;HU;-10293;philen@aol.com
189;Bogdán híd 31. 57. emelet;;Budapest;Pest;9054;HU;-3509;rhavyn@me.com
190;Pál part 6.;;Budapest;Pest;9054;HU;-10599;miltchev@aol.com
191;Dorián part 97. 29. emelet;;Salgótarján;Nógrád;9054;HU;-9144;claypool@att.net
192;Julianna sétaút 0.;;Budapest;Pest;9054;HU;-8215;hikoza@verizon.net
193;Fábián lakótelep 3.;;Lenti;Zala;9054;HU;-5835;ngedmond@icloud.com
194;Olívia erdõsor 68. 16. ajtó;;Budapest;Pest;9054;HU;-7095;seemant@comcast.net
195;Kiss part 2. 58. emelet;;Pécs;Baranya;9054;HU;-7665;stomv@comcast.net
196;Bendegúz fasor 34. 61. ajtó;;Budapest;Pest;9054;HU;-2620;phyruxus@yahoo.ca
197;Kevin sétaút 421. 72. ajtó;;Budapest;Pest;9054;HU;-9907;sblack@yahoo.ca
198;Gulyás gát 60. 13. ajtó;;Kemecse;Szabolcs-Szatmár-Bereg;9054;HU;-4727;payned@att.net
199;Bence útja 447. 41. ajtó;;Budapest;Pest;9054;HU;-2249;teverett@sbcglobal.net
200;Bognár határsor 22. 53. ajtó;;Szombathely;Pest;9054;HU;-4691;bester@gmail.com
201;Géza liget 535.;;Budapest;Pest;9054;HU;-1777;budinger@yahoo.com
202;Szûcs köz 73. 37. ajtó;;Érd;Pest;9054;HU;-8902;ylchang@verizon.net
203;Virág fasor 64. 24. ajtó;;Budapest;Pest;9054;HU;-6134;willg@verizon.net
204;Panna híd 79.;;Budapest;Pest;9054;HU;-2485;hermes@gmail.com
205;Barna liget 50.;;Vecsés;Pest;9054;HU;-10216;stefano@yahoo.com
206;Fanni lejáró 662.;;Budapest;Pest;9054;HU;-9732;paulv@hotmail.com
207;János sétány 9. 41. ajtó;;Kecskemét;Bács-Kiskun;9054;HU;-4446;munjal@comcast.net
208;Dudás lejtõ 599.;;Mosonmagyaróvár;Gyõr-Moson-Sopron;9054;HU;-2296;jginspace@verizon.net
209;Budai játszótér 45. 68. emelet;;Budapest;Pest;9054;HU;-7349;dialworld@hotmail.com
210;Kata udvar 0. 83. ajtó;;Budapest;Pest;9054;HU;-9172;vertigo@icloud.com
211;Virág útja 05. 09. ajtó;;Budapest;Pest;9054;HU;-7319;zeller@att.net
212;Kis határsor 69. 32. emelet;;Budapest;Pest;9054;HU;-3646;preneel@outlook.com
213;Ottó körtér 69.;;Budapest;Pest;9054;HU;-10562;conteb@optonline.net
214;Veres sugárút 42. 26. emelet;;Miskolc;Borsod-Abaúj-Zemplén;9054;HU;-9488;skythe@me.com
215;Péter játszótér 91.;;Budapest;Pest;9054;HU;-6235;lbecchi@hotmail.com
216;Fábián útja 99.;;Sopron;Gyõr-Moson-Sopron;9054;HU;-1443;gator@verizon.net
217;Hegedûs határsor 70.;;Budapest;Pest;9054;HU;-8478;mcrawfor@optonline.net
218;Deák park 654. 44. emelet;;Budapest;Pest;9054;HU;-2826;animats@comcast.net
219;Sipos körtér 49.;;Budapest;Pest;9054;HU;-1299;gerlo@yahoo.ca
220;Martina határút 689.;;Sárbogárd;Fejér;9054;HU;-5230;niknejad@live.com
221;Milán dûlõsor 137.;;Nyíregyháza;Szabolcs-Szatmár-Bereg;9054;HU;-6523;symbolic@yahoo.ca
222;Dorottya üdülõpart 67.;;Budapest;Pest;9054;HU;-4789;josephw@aol.com
223;Alexa rakpart 07.;;Érd;Pest;9054;HU;-9636;jbailie@live.com
224;László kert 55.;;Gyõr;Tolna;9054;HU;-9167;nweaver@verizon.net
225;Kis part 35. 01. ajtó;;Budapest;Pest;9054;HU;-5534;bradl@aol.com
226;Hunor útja 536. 44. ajtó;;Eger;Heves;9054;HU;-1576;corrada@msn.com
227;Szalai dûlõút 93.;;Budapest;Pest;9054;HU;-7395;lamky@sbcglobal.net
228;Zoltán híd 18.;;Budapest;Pest;9054;HU;-8566;chinthaka@live.com
229;Georgina körtér 06.;;Budapest;Pest;9054;HU;-10556;studyabr@gmail.com
230;Patrik erdõsor 204.;;Edelény;Borsod-Abaúj-Zemplén;9054;HU;-9978;gozer@yahoo.com
231;Milla kert 4. 32. emelet;;Sopron;Gyõr-Moson-Sopron;9054;HU;-6619;pizza@me.com
232;Borbély tér 967. 35. emelet;;Budapest;Pest;9054;HU;-4309;payned@aol.com
233;Dorián országút 822.;;Budapest;Pest;9054;HU;-10432;fwitness@icloud.com
234;Lukács lakótelep 40.;;Budapest;Pest;9054;HU;-2406;heroine@aol.com
235;Orsós híd 83.;;Budapest;Pest;9054;HU;-9808;roesch@me.com
236;Váradi lejtõ 855. 02. emelet;;Budapest;Pest;9054;HU;-7743;lauronen@sbcglobal.net
237;Péter átjáró 24. 80. emelet;;Szolnok;Somogy;9054;HU;-3907;mbrown@sbcglobal.net
238;Szervác határút 563. 72. emelet;;Budapest;Pest;9054;HU;-2149;naupa@optonline.net
239;Papp rakpart 0. 15. emelet;;Budapest;Pest;9054;HU;-7596;psharpe@comcast.net
240;Molnár körút 8.;;Enying;Fejér;9054;HU;-7188;andale@outlook.com
241;Soós körönd 61. 78. ajtó;;Budapest;Pest;9054;HU;-6333;citadel@verizon.net
242;Kevin ösvény 75.;;Budapest;Pest;9054;HU;-3367;citizenl@gmail.com
243;Patrícia pincesor 7. 76. emelet;;Tét;Gyõr-Moson-Sopron;9054;HU;-6850;mgreen@yahoo.com
244;Horváth sétány 8.;;Budapest;Pest;9054;HU;-5915;joglo@yahoo.ca
245;Lakatos híd 752. 28. ajtó;;Budapest;Pest;9054;HU;-7425;maratb@live.com
246;Zita ösvény 84. 30. emelet;;Budapest;Pest;9054;HU;-8516;dleconte@msn.com
247;Katalin lépcsõ 58. 75. ajtó;;Érd;Pest;9054;HU;-4126;delpino@sbcglobal.net
248;Zsóka üdülõpart 73. 32. ajtó;;Budapest;Pest;9054;HU;-6162;smartfart@optonline.net
249;Zsombor körtér 569. 88. emelet;;Budapest;Pest;9054;HU;-7730;brickbat@yahoo.ca
250;Boglárka gát 52.;;Szolnok;Somogy;9054;HU;-7783;frederic@gmail.com
251;Fodor dûlõsor 95. 76. ajtó;;Budapest;Pest;9054;HU;-4227;openldap@mac.com
252;Fehér part 298.;;Budapest;Pest;9054;HU;-1594;howler@att.net
253;Kelemen dûlõút 7.;;Budapest;Pest;9054;HU;-2792;heroine@icloud.com
254;Barta határsor 902. 14. ajtó;;Érd;Pest;9054;HU;-8173;pierce@mac.com
255;Jázmin liget 29.;;Kaposvár;Somogy;9054;HU;-2414;tokuhirom@gmail.com
256;Gál üdülõpart 980.;;Miskolc;Borsod-Abaúj-Zemplén;9054;HU;-2033;bastian@yahoo.ca
257;Gabriella út 87.;;Nyíregyháza;Szabolcs-Szatmár-Bereg;9054;HU;-8614;leviathan@yahoo.ca
258;Deák út 8.;;Budapest;Pest;9054;HU;-3087;ournews@icloud.com
259;Katinka forduló 1. 05. emelet;;Budapest;Pest;9054;HU;-9325;josephw@icloud.com
260;Major tér 99.;;Budapest;Pest;9054;HU;-1909;arebenti@me.com
261;Szabina sétaút 6.;;Kisvárda;Szabolcs-Szatmár-Bereg;9054;HU;-7208;kludge@msn.com
262;Zsombor határút 30.;;Budapest;Pest;9054;HU;-3114;cameron@outlook.com
263;Jónás lejáró 3. 46. emelet;;Budapest;Pest;9054;HU;-5994;scottlee@att.net
264;János liget 0.;;Budapest;Pest;9054;HU;-5606;njpayne@att.net
265;Pap határút 503. 14. ajtó;;Pécs;Baranya;9054;HU;-5697;daveewart@me.com
266;Dalma lejtõ 9. 57. ajtó;;Szeged;Csongrád;9054;HU;-4971;bulletin@mac.com
267;Mihály sor 380.;;Budapest;Pest;9054;HU;-2308;jaesenj@verizon.net
268;Veres sor 08.;;Szécsény;Nógrád;9054;HU;-1875;chrisk@verizon.net
269;Dudás dûlõút 70. 01. ajtó;;Budapest;Pest;9054;HU;-2854;cantu@att.net
270;Patrícia sétaút 7.;;Budapest;Pest;9054;HU;-9411;dkrishna@comcast.net
271;Zsolt határút 700.;;Szarvas;Békés;9054;HU;-3703;ramollin@yahoo.com
272;Rácz útja 6. 62. emelet;;Veszprém;Veszprém;9054;HU;-4946;osrin@me.com
273;Balázs híd 1. 87. emelet;;Sárbogárd;Fejér;9054;HU;-5152;snunez@live.com
274;Horváth játszótér 396. 40. emelet;;Budapest;Pest;9054;HU;-3134;scarlet@mac.com
275;Szervác árok 02. 81. emelet;;Budapest;Pest;9054;HU;-8811;agolomsh@comcast.net
276;Bendegúz udvar 0.;;Pécs;Baranya;9054;HU;-5321;muzzy@sbcglobal.net
277;Pásztor út 11. 34. ajtó;;Balatonfüred;Veszprém;9054;HU;-10620;petersen@verizon.net
278;Szabó tere 18.;;Budapest;Pest;9054;HU;-7734;jfmulder@msn.com
279;Attila határút 667.;;Nagyatád;Somogy;9054;HU;-3865;sherzodr@sbcglobal.net
280;Bendegúz erdõsor 31. 77. emelet;;Tatabánya;Komárom-Esztergom;9054;HU;-6879;jandrese@verizon.net
281;Milán tere 41. 42. ajtó;;Budapest;Pest;9054;HU;-4978;dmouse@optonline.net
282;Boróka körtér 28. 95. emelet;;Szeged;Csongrád;9054;HU;-5111;dsowsy@yahoo.ca
283;István lakótelep 425.;;Szekszárd;Tolna;9054;HU;-10008;bolow@mac.com
284;Fülöp országút 50. 57. ajtó;;Budakeszi;Pest;9054;HU;-4357;gtewari@verizon.net
285;Hajdu sor 27. 94. ajtó;;Budapest;Pest;9054;HU;-7551;grothoff@mac.com
286;Kincsõ átjáró 60. 83. emelet;;Budapest;Pest;9054;HU;-2399;froodian@msn.com
287;Végh híd 953. 66. ajtó;;Budapest;Pest;9054;HU;-6352;ryanshaw@hotmail.com
